Museum.Name,Legal.Name,Museum.Type,State..Administrative.Location.,Region.Code..AAM.,Is.Museum,Tax.Year,Annual.Revenue
ALGONAC-CLAY TOWNSHIP HISTORICAL SOCIETY,ALGONAC-CLAY TOWNSHIP HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,106249
ALOHA HISTORICAL SOCIETY,ALOHA HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
AMERICAN MUSEUM OF HISTORY PALIS INSTITUTE,AMERICAN MUSEUM OF HISTORY PALIS INSTITUTE INC,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
AMERICAN MUSEUM OF MAGIC & LUND LIBRARY,AMERICAN MUSEUM OF MAGIC INC,GENERAL MUSEUM,MI,4,TRUE,2013,100161
ANN ARBOR ART ASSOCIATION,ANN ARBOR ART ASSOCIATION,ART MUSEUM,MI,4,TRUE,2013,677859
ARTRAIN,ARTRAIN INC,ART MUSEUM,MI,4,TRUE,2013,385512
AUTOMOTIVE HALL OF FAME,AUTOMOTIVE HALL OF FAME INC,GENERAL MUSEUM,MI,4,TRUE,2013,694614
BANGOR HISTORICAL SOCIETY,BANGOR HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,-1799709
BANKS TOWNSHIP HISTORICAL SOCIETY,BANKS TOWNSHIP HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BAY MILLS-BRIMLEY HISTORICAL RESEARCH SOCIETY,BAY MILLS-BRIMLEY HISTORICAL RESEAR CH SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BAY PORT HISTORICAL SOCIETY,BAY PORT HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BEAVER ISLAND HISTORICAL SOCIETY OF MICHIGAN,BEAVER ISLAND HISTORICAL SOCIETY OF MICHIGAN,HISTORIC PRESERVATION,MI,4,FALSE,2013,53484
BECKMAZE HISTORICAL SOCIETY,BECKMAZE HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BELLEVUE HISTORICAL SOCIETY,THE BELLEVUE HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BENZIE AREA HISTORICAL SOCIETY,BENZIE AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,68497
BERRIEN COUNTY GENEALOGICAL SOCIETY,BERRIEN COUNTY GENEALOGICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BERRIEN COUNTY HISTORICAL ASSOCIATION,BERRIEN COUNTY HISTORICAL ASSN INC,HISTORY MUSEUM,MI,4,TRUE,2013,210386
BIRMINGHAM HISTORICAL SOCIETY,BIRMINGHAM HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,136632
BLOOMINGDALE AREA HISTORICAL ASSOCIATION,BLOOMINGDALE AREA HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BOBBIT VISUAL ARTS CENTER,ALBION COLLEGE,ART MUSEUM,MI,4,TRUE,2013,134530044
BOHM THEATRE,FRIENDS OF THE BOHM THEATRE,HISTORIC PRESERVATION,MI,4,FALSE,2013,96400
BOSTON-SARANAC HISTORICAL SOCIETY,BOSTON-SARANAC HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,26251
BOTANICAL GARDEN SOCIETY OF NORTHWEST MICHIGAN,BOTANICAL GARDEN SOCIETY OF NORTHWEST MICHIGAN INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",MI,4,FALSE,2013,349415
BRETHREN HERITAGE ASSOCIATION,BRETHREN HERITAGE ASSOCIATION,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BRIDGEPORT HISTORICAL SOCIETY,BRIDGEPORT HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,91738
BRIGHTON AREA HISTORICAL SOCIETY,BRIGHTON AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BROADWAY,FRIENDS OF THE BROADWAY,HISTORIC PRESERVATION,MI,4,FALSE,2013,76936
BUCHANAN ART CENTER,BUCHANAN ART CENTER INC,ART MUSEUM,MI,4,TRUE,2013,59511
BUCHANAN PRESERVATION SOCIETY,BUCHANAN PRESERVATION SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BYERS,FRIENDS OF BYERS,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
BYRON CENTER HISTORICAL SOCIETY,BYRON CENTER HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,13928
CANNON TOWNSHIP HISTORICAL SOCIETY,CANNON TOWNSHIP HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
CANTON HISTORICAL SOCIETY,CANTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,140803
CAPAC COMMUNITY HISTORICAL SOCIETY,CAPAC COMMUNITY HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
CASS CITY AREA HISTORICAL AND GENEALOGY SOCIETY,CASS CITY AREA HISTORICAL AND GENEALOGY SOCIETY INC,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
CASS COUNTY HISTORICAL SOCIETY,CASS COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,177968
CEDAR SPRINGS HISTORICAL MUSEUM,CEDAR SPRINGS HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
CENTER ART GALLERY,CALVIN COLLEGE,ART MUSEUM,MI,4,TRUE,2013,171078941
CENTER OF AFRICAN AMERICAN ART AND HISTORY,CENTER OF AFRICAN AMERICAN ART AND HISTORY,ART MUSEUM,MI,4,TRUE,2013,0
CENTRAL DETROIT CHRISTIAN,CENTRAL DETROIT CHRISTIAN COMMUNITY DEVELOPMENT CORPORATION,HISTORIC PRESERVATION,MI,4,FALSE,2013,2726095
CENTRAL LAKE AREA HISTORICAL SOCIETY,CENTRAL LAKE AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
CHALDEAN COMMUNITY CULTURAL CENTER,CHALDEAN COMMUNITY CULTURAL CENTER,GENERAL MUSEUM,MI,4,TRUE,2013,2202
CHARLEVOIX CIRCLE OF ARTS,CHARLEVOIX CIRCLE OF ARTS,ART MUSEUM,MI,4,TRUE,2013,56566
CHARLEVOIX HISTORICAL SOCIETY,CHARLEVOIX HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,75420
CHELSEA AREA HISTORICAL SOCIETY,CHELSEA AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,28256
CHESTERFIELD TOWNSHIP HISTORICAL SOCIETY,CHESTERFIELD TOWNSHIP HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
CHIPPEWA COUNTY HISTORICAL SOCIETY,CHIPPEWA COUNTY HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MI,4,FALSE,2013,415024
CHIPPEWA NATURE CENTER,CHIPPEWA NATURE CENTER INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",MI,4,FALSE,2013,3435307
CITY OPERA HOUSE HERITAGE ASSOCIATION,CITY OPERA HOUSE HERITAGE ASSOCIATION INC,HISTORIC PRESERVATION,MI,4,FALSE,2013,975177
CLARKSTON COMMUNITY HISTORICAL SOCIETY,CLARKSTON COMMUNITY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,36053
CLASSIC CAR CLUB OF AMERICA MUSEUM,CLASSIC CAR CLUB OF AMERICA MUSEUM INC,GENERAL MUSEUM,MI,4,TRUE,2013,3118541
CLINTON COUNTY HISTORICAL SOCIETY,CLINTON COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,201912
COBBLESTONE FARM MUSEUM,COBBLESTONE FARM ASSOCIATION INC,GENERAL MUSEUM,MI,4,TRUE,2013,0
COMMUNITY HISTORICAL SOCIETY,COMMUNITY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,33677
COOPERSVILE AREA HISTORICAL SOCIETY,COOPERSVILE AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
